,eventId,created,startExpect,endExpect,start,end,cp,category,description,sids,lng,lat,accident_sid
51,3678205,2020-09-20 14:25:00,2020-09-20 14:23:00,2020-09-20 14:43:00,,,tbs 교통방송,ACCIDENT,내부순환로 (성산대교 → 성수대교) 홍지문터널 조금 못 간 지점 2차로 승용차관련 추돌사고로 정체,[1120002201],126.955419,37.595987,1120002201
54,3678213,2020-09-20 14:32:23,2020-09-20 14:07:00,2020-09-20 14:37:00,,,경찰청(UTIC),ACCIDENT,[사고] 통일로 염천교 에서 경찰청앞 방향 1차로 교통사고 승용차 관련. 후미 지체,[1010004403],126.969856514171,37.5618803201354,1010004403
58,3678217,2020-09-20 14:32:23,2020-09-20 14:25:00,2020-09-20 14:55:00,,,경찰청(UTIC),ACCIDENT,[사고] 내부순환로 홍은IC 에서 홍지문터널입구  방향 2차로 교통사고 지체 주의운전 ,[1120002201],126.956132943589,37.5958570072322,1120002201
56,3678257,2020-09-20 14:53:00,2020-09-20 14:50:00,2020-09-20 15:10:00,,,tbs 교통방송,ACCIDENT,강변북로 (일산 → 구리) 마포대교부근 2차로 승용차관련 추돌사고로 정체,[1130000304],126.937416,37.540784,1130000304
115,3679407,2020-09-21 16:05:22,2020-09-21 15:56:00,2020-09-21 16:26:00,,,경찰청(UTIC),ACCIDENT,[사고] 노량진로 노량진삼거리 에서 노량진전화국 방향 2차로 교통사고 주의운전,[1190005902],126.938502100518,37.5135024594329,1190005902
122,3679611,2020-09-21 20:52:20,2020-09-21 20:46:00,2020-09-21 21:16:00,,,경찰청(UTIC),ACCIDENT,[사고] 대학로 혜화동로터리 에서 이화사거리 방향 3차로 교통사고 버스-오토바이-택시. 후미 서행,[1000015903],127.001480310286,37.5841837839673,1000015903
86,3679956,2020-09-22 09:50:00,2020-09-22 09:37:00,2020-09-22 10:07:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 부천시 송내대로 (송내역방향) 부천체육관사거리 → 송내대로사거리  5차로 통제,  사고",[2420040100],126.7601,37.512469999667,2420040100
77,3679979,2020-09-22 10:26:17,2020-09-22 10:21:00,2020-09-22 10:51:00,,,경찰청(UTIC),ACCIDENT,[사고] 신월로 강월초등학교 에서 신월지하차도 방향 3차로 교통사고 주의운행,[1140007401],126.838167814066,37.5166404967344,1140007401
72,3680307,2020-09-22 12:48:00,2020-09-22 12:46:00,2020-09-22 19:00:00,,,tbs 교통방송,ACCIDENT,[사고] 양화대교 (남단 → 북단) 교량 아치위에 행인이 올라 가 있어 현재 구난작업을 하고 있으니 주의해서 지나시기 바랍니다.,[1180003800],126.902316,37.541571,1180003800
79,3680454,2020-09-22 13:33:00,2020-09-22 13:27:00,2020-09-22 13:47:00,,,tbs 교통방송,ACCIDENT,올림픽대로 (공항 → 하남) 가양대교 조금 지난 지점 4차로 승용차관련 추돌사고 처리작업으로 정체,[1150002303],126.868746,37.559523,1150002303
10,3681114,2020-09-23 09:36:17,2020-09-23 09:17:00,2020-09-23 09:47:00,,,경찰청(UTIC),ACCIDENT,[사고] 올림픽로 잠실역 에서 잠실3사거리 방향 3차로 고장 차량 주의운전,[1230025701],127.0932769,37.5120142,1230025701
4,3681118,2020-09-23 09:36:17,2020-09-23 09:22:00,2020-09-23 09:52:00,,,경찰청(UTIC),ACCIDENT,[사고] 효령로 방배역 에서 방배효령아파트 방향 3차로 고장 차량 주의운전,[1210013000],126.994957503526,37.4806541465171,1210013000
13,3681463,2020-09-23 11:59:21,2020-09-23 11:41:00,2020-09-23 12:11:00,,,경찰청(UTIC),ACCIDENT,[사고] 월계로 월계1교 에서 월계2교교차로내 방향 1차로 교통사고 승용차 관련. 후미 지체,[1070021701],127.049672237683,37.6242764112117,1070021701
12,3681719,2020-09-23 14:24:22,2020-09-23 14:20:00,2020-09-23 14:50:00,,,경찰청(UTIC),ACCIDENT,[사고] 올림픽대로 동호대교 에서 성수대교남단진출램프 방향 1차로 고장 차량 승용차. 후미 지체,[1220107000],127.033878720738,37.5310516273559,1220107000
98,3682967,2020-09-24 16:06:21,2020-09-24 15:50:00,2020-09-24 16:20:00,,,경찰청(UTIC),ACCIDENT,"[사고] 구로중앙로 오금교동단 에서 구로역 방향 2,3차로 교통사고 승용차-택시. 후미 지체",[1160015902],126.879226094391,37.5034285460519,1160015902
65,3683525,2020-09-25 10:44:18,2020-09-25 10:21:00,2020-09-25 10:51:00,,,경찰청(UTIC),ACCIDENT,[사고] 을지로 을지로1가 에서 을지로2가 방향 2차로 교통사고 주의운전,[1010014204],126.986621006709,37.5660865579732,1010014204
59,3683850,2020-09-25 11:33:00,2020-09-25 11:32:00,2020-09-25 11:52:00,,,tbs 교통방송,ACCIDENT,"내부순환로 성산대교방면 (홍제램프 → 연희램프) 3차로 화물차관련 추돌사고로 정체, 이 사고지점을 조금 지난 지점 3차로에 있었던 고장난 승용차 처리작업 완료",[1120001300],126.925297,37.574889,1120001300
70,3683988,2020-09-25 13:34:00,2020-09-25 13:33:00,2020-09-25 13:53:00,,,tbs 교통방송,ACCIDENT,[사고] 강변북로 구리방면 (한강대교 → 동작대교) 1차로 승용차끼리 추돌사고로 서강대교부터 정체,[1020000101],126.971845,37.517696,1020000101
74,3684015,2020-09-25 14:53:00,2020-09-25 14:38:00,2020-09-25 15:08:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 올림픽대로 (하남방향) 동작대교 → 반포대교  1차로 통제,  차량고장",[1210005001],126.99511682,37.5082114515752,1210005001
71,3684178,2020-09-25 18:04:20,2020-09-25 17:58:00,2020-09-25 18:28:00,,,경찰청(UTIC),ACCIDENT,[사고] 천호대로 신답지하차도 에서 답십리태양아파트앞 방향 2차로 교통사고 주의운전,[1050005401],127.044535009366,37.5718813273387,1050005401
46,3684325,2020-09-26 10:26:19,2020-09-26 10:14:00,2020-09-26 10:44:00,,,경찰청(UTIC),ACCIDENT,[사고] 올림픽대로 방화대교 에서 가양대교 방향 1차로 교통사고 승용차 관련. 후미 지체,[1150004501],126.843588933371,37.5743359259846,1150004501
52,3684790,2020-09-26 20:34:00,2020-09-26 20:31:00,2020-09-26 20:51:00,,,tbs 교통방송,ACCIDENT,강변북로 일산방면 (동호대교 → 한남대교) 2차로 추돌사고로 정체,[1020000902],127.014493,37.534547,1020000902
44,3685127,2020-09-27 12:32:00,2020-09-27 12:30:00,2020-09-27 12:50:00,,,tbs 교통방송,ACCIDENT,강변북로 (구리 → 일산 원효대교 조금 못 간 지점 1차로 승용차끼리 추돌사고로 정체,[1020001201],126.953299,37.527691,1020001201
41,3685189,2020-09-27 16:38:00,2020-09-27 16:36:00,2020-09-27 16:56:00,,,tbs 교통방송,ACCIDENT,서부간선도로 (성산대교 → 안양) 목동교 조금 지난 지점 1차로 승용차관련 추돌사고 처리작업으로 정체,[1180002901],126.889027,37.529414,1180002901
43,3685243,2020-09-27 19:49:21,2020-09-27 19:31:00,2020-09-27 20:01:00,,,경찰청(UTIC),ACCIDENT,[사고] 종로 종로3가 에서 종로4가 방향 4차로 교통사고 승용차-승용차. 후미 서행,[1000001604],126.99692954939,37.5706350517584,1000001604
40,3685247,2020-09-27 20:04:00,2020-09-27 20:02:00,2020-09-27 20:22:00,,,tbs 교통방송,ACCIDENT,"성산대교 (남단 → 북단) 북단부근 1,2차로 추돌사고로 정체",[1130052300],126.893413,37.555745,1130052300
36,3685260,2020-09-27 22:12:20,2020-09-27 21:47:00,2020-09-27 22:17:00,,,경찰청(UTIC),ACCIDENT,[사고] 서부간선도로 목동교 에서 양평교 방향 2차로 고장 차량 화물차. 후미 지체,[1180003003],126.891759056784,37.5352798793221,1180003003
0,3685280,2020-09-28 06:48:00,2020-09-28 06:36:00,2020-09-28 06:56:00,,,tbs 교통방송,ACCIDENT,경인고속도로 (인천 → 서울) 부천나들목 진출로 1차로 화물차관련 추돌사고 처리작업으로 1km구간 정체,[2420090500],126.779075,37.524448,2420090500
15,3685287,2020-09-28 07:13:17,2020-09-28 07:06:00,2020-09-28 07:36:00,,,경찰청(UTIC),ACCIDENT,[사고] 국회대로 경인2지하차도서측 에서 신월IC11 방향 1차로 교통사고 주의운전,[1140040502],126.8358594,37.5257872,1140040502
7,3686327,2020-09-28 22:31:00,2020-09-28 22:29:00,2020-09-28 22:49:00,,,tbs 교통방송,ACCIDENT,올림픽대로 공항방면 (반포대교 → 동작대교) 4차로 추돌사고로 정체,[1210004902],126.997591,37.50986,1210004902
165,3686972,2020-09-29 13:53:18,2020-09-29 13:35:00,2020-09-29 14:05:00,,,경찰청(UTIC),ACCIDENT,[사고] 강변북로 난지IC 에서 성산대교  방향 2차로 교통사고 지체 주의운전 ,[1130004303],126.892973386164,37.5584141239214,1130004303
171,3686973,2020-09-29 13:53:18,2020-09-29 13:34:00,2020-09-29 14:04:00,,,경찰청(UTIC),ACCIDENT,[사고] 구로중앙로 서부간선도로진출로 에서 오금교동단 방향 1차로 교통사고 승용차-승용차. 후미 지체,[1160076400],126.875015556901,37.5071723459799,1160076400
175,3687213,2020-09-29 22:50:00,2020-09-29 22:48:00,2020-09-29 23:08:00,,,tbs 교통방송,ACCIDENT,강변북로 구리방면 (한강대교 → 동작대교) 1차로 승용차관련 추돌사고로 정체,[1020000101],126.972298,37.517444,1020000101
157,3687219,2020-09-29 23:36:18,2020-09-29 23:21:00,2020-09-29 23:51:00,,,경찰청(UTIC),ACCIDENT,[사고] 동부간선도로 동부간선도로강변북로 에서 동부간선도로응봉로램 방향 3차로 교통사고 주의운전,[1030001402],127.0368322,37.5482983,1030001402
156,3687220,2020-09-29 23:36:18,2020-09-29 23:28:00,2020-09-29 23:58:00,,,경찰청(UTIC),ACCIDENT,[사고] 동부간선도로 동부간선도로응봉로램 에서 내부순환로동부간선도 방향 4차로 교통사고 주의운전,[1030002001],127.0413773,37.5515957,1030002001
95,3687578,2020-10-01 08:00:14,2020-10-01 07:53:00,2020-10-01 08:23:00,,,경찰청(UTIC),ACCIDENT,[사고] 일반국도3호선 태평고가사거리 에서 태평역사거리 방향 1차로 차량고장 주의운전,[2040002301],127.1267807,37.4417675,2040002301
102,3687728,2020-10-01 12:44:21,2020-10-01 12:38:00,2020-10-01 13:08:00,,,경찰청(UTIC),ACCIDENT,[사고] 송파대로 잠실역 에서 잠실대교남단 방향 5차로 교통사고 주의운전,[1230003802],127.098961771076,37.5149051033906,1230003802
99,3687806,2020-10-01 15:12:21,2020-10-01 15:01:00,2020-10-01 15:31:00,,,경찰청(UTIC),ACCIDENT,[사고] 종암로 종암사거리 에서 종암사거리종암로진입 방향 1차로 교통사고 주의운전,[1070010307],127.032176239726,37.6033847020965,1070010307
94,3687808,2020-10-01 15:12:21,2020-10-01 15:04:00,2020-10-01 15:34:00,,,경찰청(UTIC),ACCIDENT,[사고] 월드컵로 월드컵경기장교차로 에서 마포농수산물시장 방향 3차로 교통사고 주의운전,[1130006102],126.895110382157,37.5667966309984,1130006102
238,3688225,2020-10-02 15:16:00,2020-10-02 15:15:00,2020-10-02 15:35:00,,,tbs 교통방송,ACCIDENT,올림픽대로 (공항 → 하남) 가양대교 조금 지난 지점 1차로 승용차끼리 추돌사고로 행주대교부터 정체,[1150002301],126.860202,37.564667,1150002301
244,3688288,2020-10-02 19:37:22,2020-10-02 19:36:00,2020-10-02 20:06:00,,,경찰청(UTIC),ACCIDENT,[사고] 방학로 방학사거리 에서 방학지하차도서측 방향 1차로 교통사고 주의운전,[1090009902],127.042631368165,37.6627647009528,1090009902
260,3688292,2020-10-02 20:38:00,2020-10-02 20:37:00,2020-10-02 20:57:00,,,tbs 교통방송,ACCIDENT,경부고속도로 (부산 → 서울) 한남나들목부근 2차로 승용차관련 추돌사고로 양재나들목부터 정체,[1210004802],127.016209,37.516797,1210004802
69,3688379,2020-10-03 11:39:20,2020-10-03 11:26:00,2020-10-03 11:56:00,,,경찰청(UTIC),ACCIDENT,[사고] 국회대로 서강대교남단 에서 국회의사당앞 방향 2차로 교통사고 주의운전,[1180033302],126.916827290979,37.5288895734002,1180033302
68,3688596,2020-10-03 19:07:21,2020-10-03 18:59:00,2020-10-03 19:29:00,,,경찰청(UTIC),ACCIDENT,[사고] 만리재로 공덕사회복지회관 에서 성은빌딩 방향 3차로 고장 차량 주의운전 ,[1130009403],126.952837369498,37.5442087256255,1130009403
74,3688598,2020-10-03 19:07:21,2020-10-03 19:05:00,2020-10-03 19:35:00,,,경찰청(UTIC),ACCIDENT,[사고] 백범로 대흥역 에서 서울서부지방노동사무 방향 3차로 차량고장 주의운전,[1130010904],126.944897180864,37.5465550230147,1130010904
66,3688609,2020-10-03 21:20:00,2020-10-03 21:19:00,2020-10-03 21:39:00,,,tbs 교통방송,ACCIDENT,"경부고속도로 (서울 → 부산) 잠원나들목부근 1,2차로 버스관련 추돌사고 처리작업으로 정체, 같은방면 반포나들목부근 4차로 고장차량이 서있어 정체",[1210004703],127.015597,37.510634,1210004703
22,3688686,2020-10-04 11:08:18,2020-10-04 11:02:00,2020-10-04 11:32:00,,,경찰청(UTIC),ACCIDENT,[사고] 잔다리로 홍익초교 에서 태성빌딩 방향 2차로 교통사고 주의운전,[1130013801],126.921474961473,37.5508113305392,1130013801
19,3688689,2020-10-04 11:08:19,2020-10-04 10:48:00,2020-10-04 11:18:00,,,경찰청(UTIC),ACCIDENT,[사고] 동일로 현대자동차 에서 중화장미아파트 방향 1차로 교통사고 주의운전,[1060003802],127.078872874573,37.6051947772995,1060003802
26,3688961,2020-10-05 08:04:18,2020-10-05 07:55:00,2020-10-05 08:25:00,,,경찰청(UTIC),ACCIDENT,[사고] 서부간선도로 목동교 에서 양평교 방향 1차로 교통사고 승용차-승용차. 후미 지체,[1180003001],126.890006668451,37.5305254816531,1180003001
28,3689492,2020-10-05 12:52:23,2020-10-05 12:51:00,2020-10-05 13:21:00,,,경찰청(UTIC),ACCIDENT,[사고] 을지로 을지로1가 에서 을지로1가을지로진입2 방향 1차로 교통사고 주의운전,[1010013903],126.9822508,37.5660564,1010013903
43,3690129,2020-10-06 09:55:22,2020-10-06 09:48:00,2020-10-06 10:18:00,,,경찰청(UTIC),ACCIDENT,[사고] 양화로 홍대입구역사거리 에서 동교동삼거리 방향 4차로 교통사고 주의운전,[1130003802],126.924398370295,37.5572603741694,1130003802
65,3690696,2020-10-06 12:25:00,2020-10-06 12:19:00,2020-10-06 12:39:00,,,tbs 교통방송,ACCIDENT,올림픽대로 공항방면 (가양대교 → 방화대교) 2차로 추돌사고 처리작업으로 정체,[1150003202],126.847759,37.572165,1150003202
49,3690722,2020-10-06 14:15:00,2020-10-06 14:10:00,2020-10-06 14:40:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 올림픽대로 (김포방향) 영동대교 → 성수대교  1차로 통제,  사고",[1220005502],127.04291826,37.530940568097,1220005502
59,3690864,2020-10-06 15:34:00,2020-10-06 15:23:00,2020-10-06 15:53:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 성남시 성남대로 (서울방향) 여수사거리 → 모란사거리  5차로 통제,  사고",[2050005001],127.129581906514,37.4297467929394,2050005001
146,3691242,2020-10-07 09:26:00,2020-10-07 09:12:00,2020-10-07 09:42:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 올림픽대로 (김포방향) 방화대교 → 개화IC  2차로 통제,  사고",[1150006103],126.81075149,37.5890416013985,1150006103
139,3692180,2020-10-07 16:51:22,2020-10-07 16:42:00,2020-10-07 17:12:00,,,경찰청(UTIC),ACCIDENT,"[사고] 삼양로 삼양시장 에서 삼양사거리 방향 1,2차로 교통사고 주의운행",[1080002901],127.020926778461,37.6197710634075,1080002901
140,3692288,2020-10-07 17:44:00,2020-10-07 17:34:00,2020-10-07 18:04:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 강변북로 (일산방향) 동작대교 → 한강대교  1차로 통제,  사고",[1020000201],126.97344044,37.517259153338,1020000201
17,3693038,2020-10-08 13:37:00,2020-10-08 13:36:00,2020-10-08 13:56:00,,,tbs 교통방송,ACCIDENT,강변북로 일산방면 (잠실대교 → 청담대교) 4차로 추돌사고로 정체,[1040000201],127.077914,37.528251,1040000201
4,3693052,2020-10-08 14:08:22,2020-10-08 13:57:00,2020-10-08 14:27:00,,,경찰청(UTIC),ACCIDENT,[사고] 강남대로 교육개발원입구 에서 서초구민회관 방향 4차로 고장 차량 주의운전,[1210013701],127.03847663964,37.4793663037033,1210013701
5,3693159,2020-10-08 15:05:00,2020-10-08 14:55:00,2020-10-08 15:25:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 올림픽대로 (김포방향) 성산대교 → 가양대교  4차로 통제,  사고",[1150002402],126.86383899,37.562864323358,1150002402
263,3693405,2020-10-09 08:57:19,2020-10-09 08:39:00,2020-10-09 09:09:00,,,경찰청(UTIC),ACCIDENT,[사고] 정릉로 종암사거리정릉길진출 에서 종암사거리 방향 5차로 교통사고 주의운전,[1070044600],127.032030968469,37.6034106461462,1070044600
268,3693715,2020-10-09 13:50:23,2020-10-09 13:36:00,2020-10-09 14:06:00,,,경찰청(UTIC),ACCIDENT,"[사고] 대학로 혜화역 에서 혜화동로터리 방향 1,2차로 교통사고 주의운전",[1000016003],127.001698244429,37.5838188787562,1000016003
152,3693945,2020-10-10 11:05:20,2020-10-10 10:50:00,2020-10-10 11:20:00,,,경찰청(UTIC),ACCIDENT,"[사고] 양화로 양화대교북단 에서 합정역 방향 3,4차로 교통사고 주의운행",[1130001603],126.911234967149,37.5485836133717,1130001603
153,3694214,2020-10-10 13:36:23,2020-10-10 13:23:00,2020-10-10 13:53:00,,,경찰청(UTIC),ACCIDENT,[사고] 강변북로 한남대교 에서 반포대교 방향 4차로 교통사고 주의운행,[1020000902],127.003405158652,37.5255603266543,1020000902
126,3694388,2020-10-11 04:07:15,2020-10-11 03:44:00,2020-10-11 04:14:00,,,경찰청(UTIC),ACCIDENT,[사고] 대학로 함춘회관 에서 혜명교회앞 방향 1차로 차량고장 주의운전,[1000016002],127.0020838,37.5823982,1000016002
123,3694737,2020-10-11 18:33:22,2020-10-11 18:08:00,2020-10-11 18:38:00,,,경찰청(UTIC),ACCIDENT,[사고] 마포대로 홀리데이인서울 에서 일진빌딩 방향 5차로 고장 차량 주의운전,[1130000502],126.947644856806,37.5409108375274,1130000502
192,3694804,2020-10-12 08:21:18,2020-10-12 08:19:00,2020-10-12 08:49:00,,,경찰청(UTIC),ACCIDENT,[사고] 경부고속도로 반포IC 에서 잠원IC 방향 4차로 교통사고,[1210004802],127.017194018312,37.5068407735895,1210004802
195,3695592,2020-10-12 11:34:00,2020-10-12 11:24:00,2020-10-12 11:54:00,,,경기도 교통정보센터,ACCIDENT,[사고] 수도권 제1순환고속도로 (판교(구리)방향) 서하남IC → 하남JC  1차로 통제,[2270002401],127.180564648901,37.517152695933,2270002401
190,3695605,2020-10-12 11:48:00,2020-10-12 11:47:00,2020-10-12 12:07:00,,,tbs 교통방송,ACCIDENT,[사고] 올림픽로 (삼성교 → 잠실역) 종합운동장4거리 조금 지난 지점 하위차로 버스관련 추돌사고 처리작업으로 또 다른 사고위험,[1230025102],127.080069,37.511888,1230025102
108,3696203,2020-10-13 08:17:00,2020-10-13 08:14:00,2020-10-13 08:34:00,,,tbs 교통방송,ACCIDENT,올림픽대로 (공항 → 하남) 영동대교 조금 못 간 지점 3차로 승용차끼리 추돌사고로 정체,[1220005401],127.05074,37.528536,1220005401
116,3696371,2020-10-13 10:39:21,2020-10-13 10:29:00,2020-10-13 10:59:00,,,경찰청(UTIC),ACCIDENT,[사고] 통일로 하나로주유소 에서 구파발사거리 방향 2차로 교통사고 주의운전,[1110002301],126.916539434125,37.6394512426862,1110002301
107,3696850,2020-10-13 13:59:00,2020-10-13 13:58:00,2020-10-13 14:18:00,,,tbs 교통방송,ACCIDENT,[사고] 동부간선도로 (의정부 → 성수대교) 응봉교부근 3차로 추돌사고 처리작업으로 서행,[1030001902],127.040435,37.551444,1030001902
115,3697108,2020-10-13 18:10:20,2020-10-13 17:45:00,2020-10-13 18:15:00,,,경찰청(UTIC),ACCIDENT,"[사고] 수도권 제1순환고속도로 시흥IC 에서 시흥T/G 방향 3,4차로 주의운전 차량사고",[2240029501],126.80237904,37.4516116188009,2240029501
90,3697227,2020-10-14 08:12:19,2020-10-14 08:08:00,2020-10-14 08:38:00,,,경찰청(UTIC),ACCIDENT,[사고] 신월로 신정네거리역 에서 정빌딩 방향 1차로 교통사고 주의운전,[1140015001],126.8526787,37.5210523,1140015001
87,3697487,2020-10-14 09:58:00,2020-10-14 09:57:00,2020-10-14 10:17:00,,,tbs 교통방송,ACCIDENT,"내부순환로 성산대교방면 (연희램프 → 성산램프) 3차로 승용차,화물차 추돌사고로 정체",[1130006501],126.915978,37.567314,1130006501
79,3697507,2020-10-14 10:39:18,2020-10-14 10:32:00,2020-10-14 11:02:00,,,경찰청(UTIC),ACCIDENT,[사고] 동일로 공릉역 에서 태릉입구역 방향 3차로 교통사고 오토바이-승용차. 후미 지체,[1100000305],127.073544980098,37.6237548892842,1100000305
77,3697804,2020-10-14 11:13:00,2020-10-14 11:11:00,2020-10-14 11:31:00,,,tbs 교통방송,ACCIDENT,[사고] 국회대로 (신월나들목 → 영등포구청4거리) 목동교위 하위차로 승용차끼리 추돌사고로 정체,"[1140066400, 1140066500]",126.887871,37.530855,1140066400
82,3698031,2020-10-14 15:27:00,2020-10-14 15:05:00,2020-10-14 16:00:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 올림픽대로 (하남방향) 한강대교 → 동작대교  4차로 통제,  고장",[1190028800],126.97805926,37.504628019454,1190028800
81,3698042,2020-10-14 15:40:22,2020-10-14 15:35:00,2020-10-14 16:05:00,,,경찰청(UTIC),ACCIDENT,[사고] 화랑로 태릉입구역 에서 북부지청앞 방향 4차로 교통사고 주의운전,[1100008001],127.076059264934,37.6177437091463,1100008001
233,3698381,2020-10-15 08:10:21,2020-10-15 07:58:00,2020-10-15 08:28:00,,,경찰청(UTIC),ACCIDENT,[사고] 성산로 봉원고가차도남측 에서 신촌세브란스병원 방향 3차로 교통사고 주의운전,[1120004905],126.942604547839,37.562284675635,1120004905
236,3698383,2020-10-15 08:10:21,2020-10-15 08:01:00,2020-10-15 08:31:00,,,경찰청(UTIC),ACCIDENT,[사고] 올림픽대로 동작대교 에서 반포대교 방향 4차로 교통사고 주의운전,[1210005001],126.994944681484,37.5081462661064,1210005001
217,3698384,2020-10-15 08:10:21,2020-10-15 08:08:00,2020-10-15 08:38:00,,,경찰청(UTIC),ACCIDENT,[사고] 사평대로 사평지하차도서측 에서 사평지하차도동측 방향 1차로 교통사고 주의운전,[1210056400],127.0032914,37.5018309,1210056400
234,3698573,2020-10-15 09:56:00,2020-10-15 09:55:00,2020-10-15 10:15:00,,,tbs 교통방송,ACCIDENT,올림픽대로 공항방면 (성수대교 → 동호대교) 4차로 승용차끼리 추돌사고로 올림픽대교부터 정체,[1220005601],127.028591,37.534292,1220005601
227,3699291,2020-10-15 18:14:26,2020-10-15 18:03:00,2020-10-15 18:33:00,,,경찰청(UTIC),ACCIDENT,[사고] 사가정로 장안교동단 에서 유수지주차장교차로 방향 1차로 고장 차량 승용차. 후미 지체,[1060008302],127.08223739398,37.5811683539889,1060008302
